timestamp,message,logStreamName
1762298727613,2025/11/04 23:25:27 Worker started. Polling SQS for messages...,ip-10-0-130-216.ec2.internal
1762298857116,2025/11/04 23:27:37 Processing video ID: 8,ip-10-0-130-216.ec2.internal
1762298857116,2025/11/04 23:27:37 [Video 8] Started processing at: 2025-11-04T23:27:37Z,ip-10-0-130-216.ec2.internal
1762298926116,2025/11/04 23:28:46 [Video 8] Completed processing at: 2025-11-04T23:28:46Z (Duration: 1m8.99968479s),ip-10-0-130-216.ec2.internal
1762299756604,2025/11/04 23:42:36 Worker started. Polling SQS for messages...,ip-10-0-141-186.ec2.internal
1762300007185,2025/11/04 23:46:47 Worker started. Polling SQS for messages...,ip-10-0-142-182.ec2.internal
1762300107460,2025/11/04 23:48:27 Processing video ID: 9,ip-10-0-142-182.ec2.internal
1762300107460,2025/11/04 23:48:27 [Video 9] Started processing at: 2025-11-04T23:48:27Z,ip-10-0-142-182.ec2.internal
1762300179776,2025/11/04 23:49:39 [Video 9] Completed processing at: 2025-11-04T23:49:39Z (Duration: 1m12.317096092s),ip-10-0-142-182.ec2.internal
1762302037699,2025/11/05 00:20:37 Worker started. Polling SQS for messages...,ip-10-0-131-60.ec2.internal
1762302378030,2025/11/05 00:26:18 Processing video ID: 10,ip-10-0-131-60.ec2.internal
1762302378030,2025/11/05 00:26:18 [Video 10] Started processing at: 2025-11-05T00:26:18Z,ip-10-0-131-60.ec2.internal
1762302456393,2025/11/05 00:27:36 [Video 10] Completed processing at: 2025-11-05T00:27:36Z (Duration: 1m18.362813974s),ip-10-0-131-60.ec2.internal
1762306882502,2025/11/05 01:41:22 Processing video ID: 11,ip-10-0-131-60.ec2.internal
1762306882502,2025/11/05 01:41:22 [Video 11] Started processing at: 2025-11-05T01:41:22Z,ip-10-0-131-60.ec2.internal
1762306949886,2025/11/05 01:42:29 [Video 11] Completed processing at: 2025-11-05T01:42:29Z (Duration: 1m7.384060797s),ip-10-0-131-60.ec2.internal
1762307492802,2025/11/05 01:51:32 Processing video ID: 12,ip-10-0-131-60.ec2.internal
1762307492802,2025/11/05 01:51:32 [Video 12] Started processing at: 2025-11-05T01:51:32Z,ip-10-0-131-60.ec2.internal
1762307559754,2025/11/05 01:52:39 [Video 12] Completed processing at: 2025-11-05T01:52:39Z (Duration: 1m6.951568654s),ip-10-0-131-60.ec2.internal
1762307559823,2025/11/05 01:52:39 Processing video ID: 14,ip-10-0-131-60.ec2.internal
1762307559823,2025/11/05 01:52:39 [Video 14] Started processing at: 2025-11-05T01:52:39Z,ip-10-0-131-60.ec2.internal
1762307626732,2025/11/05 01:53:46 [Video 14] Completed processing at: 2025-11-05T01:53:46Z (Duration: 1m6.908993332s),ip-10-0-131-60.ec2.internal
1762307626766,2025/11/05 01:53:46 Processing video ID: 16,ip-10-0-131-60.ec2.internal
1762307626766,2025/11/05 01:53:46 [Video 16] Started processing at: 2025-11-05T01:53:46Z,ip-10-0-131-60.ec2.internal
1762307693554,2025/11/05 01:54:53 [Video 16] Completed processing at: 2025-11-05T01:54:53Z (Duration: 1m6.787539968s),ip-10-0-131-60.ec2.internal
1762307693593,2025/11/05 01:54:53 Processing video ID: 17,ip-10-0-131-60.ec2.internal
1762307693593,2025/11/05 01:54:53 [Video 17] Started processing at: 2025-11-05T01:54:53Z,ip-10-0-131-60.ec2.internal
1762307760457,2025/11/05 01:56:00 [Video 17] Completed processing at: 2025-11-05T01:56:00Z (Duration: 1m6.864310533s),ip-10-0-131-60.ec2.internal
1762307760490,2025/11/05 01:56:00 Processing video ID: 18,ip-10-0-131-60.ec2.internal
1762307760490,2025/11/05 01:56:00 [Video 18] Started processing at: 2025-11-05T01:56:00Z,ip-10-0-131-60.ec2.internal
1762307760686,2025/11/05 01:56:00 Worker started. Polling SQS for messages...,ip-10-0-138-87.ec2.internal
1762307760866,2025/11/05 01:56:00 Processing video ID: 15,ip-10-0-138-87.ec2.internal
1762307760866,2025/11/05 01:56:00 [Video 15] Started processing at: 2025-11-05T01:56:00Z,ip-10-0-138-87.ec2.internal
1762307827804,2025/11/05 01:57:07 [Video 18] Completed processing at: 2025-11-05T01:57:07Z (Duration: 1m7.313598408s),ip-10-0-131-60.ec2.internal
1762307827834,2025/11/05 01:57:07 Processing video ID: 20,ip-10-0-131-60.ec2.internal
1762307827834,2025/11/05 01:57:07 [Video 20] Started processing at: 2025-11-05T01:57:07Z,ip-10-0-131-60.ec2.internal
1762307838798,2025/11/05 01:57:18 [Video 15] Completed processing at: 2025-11-05T01:57:18Z (Duration: 1m17.931772177s),ip-10-0-138-87.ec2.internal
1762307838832,2025/11/05 01:57:18 Processing video ID: 21,ip-10-0-138-87.ec2.internal
1762307838832,2025/11/05 01:57:18 [Video 21] Started processing at: 2025-11-05T01:57:18Z,ip-10-0-138-87.ec2.internal
1762307894673,2025/11/05 01:58:14 [Video 20] Completed processing at: 2025-11-05T01:58:14Z (Duration: 1m6.838991573s),ip-10-0-131-60.ec2.internal
1762307894807,2025/11/05 01:58:14 Processing video ID: 24,ip-10-0-131-60.ec2.internal
1762307894807,2025/11/05 01:58:14 [Video 24] Started processing at: 2025-11-05T01:58:14Z,ip-10-0-131-60.ec2.internal
1762307908032,2025/11/05 01:58:28 [Video 21] Completed processing at: 2025-11-05T01:58:28Z (Duration: 1m9.199266719s),ip-10-0-138-87.ec2.internal
1762307908055,2025/11/05 01:58:28 Processing video ID: 26,ip-10-0-138-87.ec2.internal
1762307908055,2025/11/05 01:58:28 [Video 26] Started processing at: 2025-11-05T01:58:28Z,ip-10-0-138-87.ec2.internal
1762307961690,2025/11/05 01:59:21 [Video 24] Completed processing at: 2025-11-05T01:59:21Z (Duration: 1m6.883382325s),ip-10-0-131-60.ec2.internal
1762307961731,2025/11/05 01:59:21 Processing video ID: 22,ip-10-0-131-60.ec2.internal
1762307961732,2025/11/05 01:59:21 [Video 22] Started processing at: 2025-11-05T01:59:21Z,ip-10-0-131-60.ec2.internal
1762307978688,2025/11/05 01:59:38 [Video 26] Completed processing at: 2025-11-05T01:59:38Z (Duration: 1m10.633040361s),ip-10-0-138-87.ec2.internal
1762307978720,2025/11/05 01:59:38 Processing video ID: 33,ip-10-0-138-87.ec2.internal
1762307978720,2025/11/05 01:59:38 [Video 33] Started processing at: 2025-11-05T01:59:38Z,ip-10-0-138-87.ec2.internal
1762308028811,2025/11/05 02:00:28 [Video 22] Completed processing at: 2025-11-05T02:00:28Z (Duration: 1m7.079062676s),ip-10-0-131-60.ec2.internal
1762308028843,2025/11/05 02:00:28 Processing video ID: 25,ip-10-0-131-60.ec2.internal
1762308028843,2025/11/05 02:00:28 [Video 25] Started processing at: 2025-11-05T02:00:28Z,ip-10-0-131-60.ec2.internal
1762308048121,2025/11/05 02:00:48 [Video 33] Completed processing at: 2025-11-05T02:00:48Z (Duration: 1m9.40102658s),ip-10-0-138-87.ec2.internal
1762308048149,2025/11/05 02:00:48 Processing video ID: 46,ip-10-0-138-87.ec2.internal
1762308048149,2025/11/05 02:00:48 [Video 46] Started processing at: 2025-11-05T02:00:48Z,ip-10-0-138-87.ec2.internal
1762308095767,2025/11/05 02:01:35 [Video 25] Completed processing at: 2025-11-05T02:01:35Z (Duration: 1m6.92404185s),ip-10-0-131-60.ec2.internal
1762308095797,2025/11/05 02:01:35 Processing video ID: 32,ip-10-0-131-60.ec2.internal
1762308095797,2025/11/05 02:01:35 [Video 32] Started processing at: 2025-11-05T02:01:35Z,ip-10-0-131-60.ec2.internal
1762308117303,2025/11/05 02:01:57 [Video 46] Completed processing at: 2025-11-05T02:01:57Z (Duration: 1m9.153350779s),ip-10-0-138-87.ec2.internal
1762308117340,2025/11/05 02:01:57 Processing video ID: 31,ip-10-0-138-87.ec2.internal
1762308117340,2025/11/05 02:01:57 [Video 31] Started processing at: 2025-11-05T02:01:57Z,ip-10-0-138-87.ec2.internal
1762308124221,2025/11/05 02:02:04 Worker started. Polling SQS for messages...,ip-10-0-139-136.ec2.internal
1762308124450,2025/11/05 02:02:04 Processing video ID: 67,ip-10-0-139-136.ec2.internal
1762308124450,2025/11/05 02:02:04 [Video 67] Started processing at: 2025-11-05T02:02:04Z,ip-10-0-139-136.ec2.internal
1762308162935,2025/11/05 02:02:42 [Video 32] Completed processing at: 2025-11-05T02:02:42Z (Duration: 1m7.137848439s),ip-10-0-131-60.ec2.internal
1762308162964,2025/11/05 02:02:42 Processing video ID: 34,ip-10-0-131-60.ec2.internal
1762308162964,2025/11/05 02:02:42 [Video 34] Started processing at: 2025-11-05T02:02:42Z,ip-10-0-131-60.ec2.internal
1762308186393,2025/11/05 02:03:06 [Video 31] Completed processing at: 2025-11-05T02:03:06Z (Duration: 1m9.053466s),ip-10-0-138-87.ec2.internal
1762308186426,2025/11/05 02:03:06 Processing video ID: 49,ip-10-0-138-87.ec2.internal
1762308186427,2025/11/05 02:03:06 [Video 49] Started processing at: 2025-11-05T02:03:06Z,ip-10-0-138-87.ec2.internal
1762308203210,2025/11/05 02:03:23 [Video 67] Completed processing at: 2025-11-05T02:03:23Z (Duration: 1m18.759033915s),ip-10-0-139-136.ec2.internal
1762308203240,2025/11/05 02:03:23 Processing video ID: 73,ip-10-0-139-136.ec2.internal
1762308203240,2025/11/05 02:03:23 [Video 73] Started processing at: 2025-11-05T02:03:23Z,ip-10-0-139-136.ec2.internal
1762308230911,2025/11/05 02:03:50 [Video 34] Completed processing at: 2025-11-05T02:03:50Z (Duration: 1m7.946994907s),ip-10-0-131-60.ec2.internal
1762308230939,2025/11/05 02:03:50 Processing video ID: 35,ip-10-0-131-60.ec2.internal
1762308230939,2025/11/05 02:03:50 [Video 35] Started processing at: 2025-11-05T02:03:50Z,ip-10-0-131-60.ec2.internal
1762308256657,
,ip-10-0-138-87.ec2.internal
1762308256657,2025/11/05 02:04:16 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308256657,"[0m[31;1m[926.346ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/49_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/7_Test_Video_5834_b7e746ba-ce12-4a51-984e-94533ab80c64.mp4',""title""='Test Video 5834',""status""='processed',""uploaded_at""='2025-11-05 01:53:52.65',""processed_at""='2025-11-05 02:04:15.731',""user_id""=7 WHERE ""id"" = 49[0m",ip-10-0-138-87.ec2.internal
1762308256665,2025/11/05 02:04:16 [Video 49] Completed processing at: 2025-11-05T02:04:16Z (Duration: 1m10.237393414s),ip-10-0-138-87.ec2.internal
1762308256697,2025/11/05 02:04:16 Processing video ID: 52,ip-10-0-138-87.ec2.internal
1762308256697,2025/11/05 02:04:16 [Video 52] Started processing at: 2025-11-05T02:04:16Z,ip-10-0-138-87.ec2.internal
1762308276764,
,ip-10-0-139-136.ec2.internal
1762308276764,2025/11/05 02:04:36 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
1762308276764,"[0m[31;1m[2133.024ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/73_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/117_Test_Video_5496_36a014c0-57d9-415d-a354-8b77baa4822b.mp4',""title""='Test Video 5496',""status""='processed',""uploaded_at""='2025-11-05 01:54:02.707',""processed_at""='2025-11-05 02:04:34.63',""user_id""=117 WHERE ""id"" = 73[0m",ip-10-0-139-136.ec2.internal
1762308276771,2025/11/05 02:04:36 [Video 73] Completed processing at: 2025-11-05T02:04:36Z (Duration: 1m13.531382175s),ip-10-0-139-136.ec2.internal
1762308276800,2025/11/05 02:04:36 Processing video ID: 77,ip-10-0-139-136.ec2.internal
1762308276800,2025/11/05 02:04:36 [Video 77] Started processing at: 2025-11-05T02:04:36Z,ip-10-0-139-136.ec2.internal
1762308303058,
,ip-10-0-131-60.ec2.internal
1762308303058,2025/11/05 02:05:03 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-131-60.ec2.internal
1762308303058,"[0m[31;1m[3019.533ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/35_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/24_Test_Video_6334_df140300-474d-4301-8c4d-bc39f869c3e4.mp4',""title""='Test Video 6334',""status""='processed',""uploaded_at""='2025-11-05 01:53:47.975',""processed_at""='2025-11-05 02:05:00.038',""user_id""=24 WHERE ""id"" = 35[0m",ip-10-0-131-60.ec2.internal
1762308303067,2025/11/05 02:05:03 [Video 35] Completed processing at: 2025-11-05T02:05:03Z (Duration: 1m12.127173041s),ip-10-0-131-60.ec2.internal
1762308303101,2025/11/05 02:05:03 Processing video ID: 52,ip-10-0-131-60.ec2.internal
1762308303101,2025/11/05 02:05:03 [Video 52] Started processing at: 2025-11-05T02:05:03Z,ip-10-0-131-60.ec2.internal
1762308328965,
,ip-10-0-138-87.ec2.internal
1762308328965,2025/11/05 02:05:28 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308328965,"[0m[31;1m[2643.214ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/52_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/54_Test_Video_310_6da9d792-d003-4c28-b808-15e8d8e845c8.mp4',""title""='Test Video 310',""status""='processed',""uploaded_at""='2025-11-05 01:53:54.438',""processed_at""='2025-11-05 02:05:26.322',""user_id""=54 WHERE ""id"" = 52[0m",ip-10-0-138-87.ec2.internal
1762308328973,2025/11/05 02:05:28 [Video 52] Completed processing at: 2025-11-05T02:05:28Z (Duration: 1m12.275429777s),ip-10-0-138-87.ec2.internal
1762308328996,2025/11/05 02:05:28 Processing video ID: 54,ip-10-0-138-87.ec2.internal
1762308328997,2025/11/05 02:05:28 [Video 54] Started processing at: 2025-11-05T02:05:28Z,ip-10-0-138-87.ec2.internal
1762308349512,
,ip-10-0-139-136.ec2.internal
1762308349512,2025/11/05 02:05:49 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
1762308349512,"[0m[31;1m[2159.822ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/77_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/29_Test_Video_7110_315f9df1-e0a7-4ef3-a05c-15cb40c07be1.mp4',""title""='Test Video 7110',""status""='processed',""uploaded_at""='2025-11-05 01:54:04.892',""processed_at""='2025-11-05 02:05:47.352',""user_id""=29 WHERE ""id"" = 77[0m",ip-10-0-139-136.ec2.internal
1762308349520,2025/11/05 02:05:49 [Video 77] Completed processing at: 2025-11-05T02:05:49Z (Duration: 1m12.719892392s),ip-10-0-139-136.ec2.internal
1762308349556,2025/11/05 02:05:49 Processing video ID: 79,ip-10-0-139-136.ec2.internal
1762308349556,2025/11/05 02:05:49 [Video 79] Started processing at: 2025-11-05T02:05:49Z,ip-10-0-139-136.ec2.internal
1762308374464,
,ip-10-0-131-60.ec2.internal
1762308374464,2025/11/05 02:06:14 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-131-60.ec2.internal
1762308374464,"[0m[31;1m[516.035ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/52_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/54_Test_Video_310_6da9d792-d003-4c28-b808-15e8d8e845c8.mp4',""title""='Test Video 310',""status""='processed',""uploaded_at""='2025-11-05 01:53:54.438',""processed_at""='2025-11-05 02:06:13.948',""user_id""=54 WHERE ""id"" = 52[0m",ip-10-0-131-60.ec2.internal
1762308374473,2025/11/05 02:06:14 [Video 52] Completed processing at: 2025-11-05T02:06:14Z (Duration: 1m11.372017329s),ip-10-0-131-60.ec2.internal
1762308374512,2025/11/05 02:06:14 Processing video ID: 54,ip-10-0-131-60.ec2.internal
1762308374512,2025/11/05 02:06:14 [Video 54] Started processing at: 2025-11-05T02:06:14Z,ip-10-0-131-60.ec2.internal
1762308400432,
,ip-10-0-138-87.ec2.internal
1762308400432,2025/11/05 02:06:40 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308400432,"[0m[31;1m[1078.276ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/54_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/4_Test_Video_5406_4bf7effd-d303-4d37-8d35-999df1e7815e.mp4',""title""='Test Video 5406',""status""='processed',""uploaded_at""='2025-11-05 01:53:55.079',""processed_at""='2025-11-05 02:06:39.353',""user_id""=4 WHERE ""id"" = 54[0m",ip-10-0-138-87.ec2.internal
1762308400439,2025/11/05 02:06:40 [Video 54] Completed processing at: 2025-11-05T02:06:40Z (Duration: 1m11.442839526s),ip-10-0-138-87.ec2.internal
1762308400475,2025/11/05 02:06:40 Processing video ID: 61,ip-10-0-138-87.ec2.internal
1762308400475,2025/11/05 02:06:40 [Video 61] Started processing at: 2025-11-05T02:06:40Z,ip-10-0-138-87.ec2.internal
1762308420262,
,ip-10-0-139-136.ec2.internal
1762308420262,2025/11/05 02:07:00 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
1762308420262,"[0m[31;1m[342.131ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/79_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/24_Test_Video_3560_5a393614-8248-422c-a9b2-9a040b1c4fd8.mp4',""title""='Test Video 3560',""status""='processed',""uploaded_at""='2025-11-05 01:54:06.399',""processed_at""='2025-11-05 02:06:59.92',""user_id""=24 WHERE ""id"" = 79[0m",ip-10-0-139-136.ec2.internal
1762308420270,2025/11/05 02:07:00 [Video 79] Completed processing at: 2025-11-05T02:07:00Z (Duration: 1m10.714249823s),ip-10-0-139-136.ec2.internal
1762308420300,2025/11/05 02:07:00 Processing video ID: 81,ip-10-0-139-136.ec2.internal
1762308420300,2025/11/05 02:07:00 [Video 81] Started processing at: 2025-11-05T02:07:00Z,ip-10-0-139-136.ec2.internal
1762308444773,
,ip-10-0-131-60.ec2.internal
1762308444773,2025/11/05 02:07:24 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-131-60.ec2.internal
1762308444773,"[0m[31;1m[354.863ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/54_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/4_Test_Video_5406_4bf7effd-d303-4d37-8d35-999df1e7815e.mp4',""title""='Test Video 5406',""status""='processed',""uploaded_at""='2025-11-05 01:53:55.079',""processed_at""='2025-11-05 02:07:24.418',""user_id""=4 WHERE ""id"" = 54[0m",ip-10-0-131-60.ec2.internal
1762308444781,2025/11/05 02:07:24 [Video 54] Completed processing at: 2025-11-05T02:07:24Z (Duration: 1m10.268216234s),ip-10-0-131-60.ec2.internal
1762308444812,2025/11/05 02:07:24 Processing video ID: 61,ip-10-0-131-60.ec2.internal
1762308444812,2025/11/05 02:07:24 [Video 61] Started processing at: 2025-11-05T02:07:24Z,ip-10-0-131-60.ec2.internal
1762308470075,
,ip-10-0-138-87.ec2.internal
1762308470075,2025/11/05 02:07:50 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308470075,"[0m[31;1m[460.753ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/61_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/42_Test_Video_8015_032c3a35-2881-4c0e-aafb-5727541e1bd1.mp4',""title""='Test Video 8015',""status""='processed',""uploaded_at""='2025-11-05 01:53:57.182',""processed_at""='2025-11-05 02:07:49.614',""user_id""=42 WHERE ""id"" = 61[0m",ip-10-0-138-87.ec2.internal
1762308470084,2025/11/05 02:07:50 [Video 61] Completed processing at: 2025-11-05T02:07:50Z (Duration: 1m9.608410648s),ip-10-0-138-87.ec2.internal
1762308470125,2025/11/05 02:07:50 Processing video ID: 36,ip-10-0-138-87.ec2.internal
1762308470125,2025/11/05 02:07:50 [Video 36] Started processing at: 2025-11-05T02:07:50Z,ip-10-0-138-87.ec2.internal
1762308495678,
,ip-10-0-139-136.ec2.internal
1762308495678,2025/11/05 02:08:15 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
